RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS_2017,Wi_2017
1,A1,1,Drzhavna granica RS/MK (Tabanovce) - Rechica (avtopat),2013,5664,602,10.85,12.69,30.98,-2.54,376,94.0,35.33,1554,0.439,0.66,0.5,0.94,1.59,92,0.53,0.88,0.18,12,2.0,0.18,1.06,5779,0.0
2,A1,2,Rechica (avtopat) - D. Konjare 1 (avtopat),2013,3489,596,10.09,12.82,31.16,-2.46,353,130.0,7.67,1900,0.686,1.38,0.5,1.97,1.76,91,0.29,1.15,0.0,12,2.0,0.57,0.86,5779,0.0
3,A1,3,D. Konjare 1 (avtopat) - Kumanovo 1 (avtopat),2013,2775,593,9.67,12.89,31.25,-2.42,340,130.0,43.27,1060,1.23,1.47,0.35,6.68,1.16,79,0.72,0.72,0.36,12,2.0,0.36,1.44,5779,0.0
4,A1,4,Kumanovo 1 (avtopat) - Miladinovci 1 (avtopat),2016,17855,598,10.27,12.79,31.11,-2.48,361,96.0,30.85,1920,0.37,2.18,0.35,5.82,1.32,76,0.62,0.73,0.11,12,2.0,0.17,0.78,6542,0.0
5,A1,5,Miladinovci 1 (avtopat) - Petrovec 1 (avtopat),2017,5827,569,6.85,13.38,31.93,-2.13,251,120.0,24.54,3264,0.34,1.19,0.35,1.42,2.51,71,0.17,0.51,0.0,21,2.0,0.51,0.86,6137,0.0
6,A1,6,Petrovec 1 (avtopat) - Katlanovo 1 (avtopat),2013,7008,564,6.17,13.5,32.09,-2.06,232,120.0,12.28,6005,0.185,0.98,0.4,1.3,2.12,68,0.14,0.0,0.0,24,2.0,0.14,0.29,14987,5.708
7,A1,7,Katlanovo 1 (avtopat) - Bashino selo (avtopat),2013,23794,566,6.39,13.46,32.04,-2.08,239,79.0,102.53,688,0.7,1.6,0.5,1.35,1.64,71,0.59,1.85,0.08,30,2.0,0.08,0.76,14987,6.935
8,A1,8,Bashino selo (avtopat) - Veles 1 (avtopat),2018,3286,559,5.56,13.6,32.24,-2.0,213,79.0,65.69,6600,0.073,3.23,0.5,0.56,1.58,74,0.61,1.22,0.0,26,2.0,0.3,0.91,14987,0.0
9,A1,9,Veles 1 (avtopat) - D. Kalaslari(avtopat),2018,6673,566,6.73,13.4,31.96,-2.12,238,90.0,32.82,1458,0.429,3.97,0.4,7.25,2.32,84,0.15,0.75,0.15,20,2.0,0.3,0.45,6948,2.997
10,A1,10,D. Kalaslari (avtopat) - Gradsko 1 (avtopat),2018,18459,549,4.31,13.82,32.53,-1.87,174,96.0,30.84,1340,0.531,1.81,0.4,5.76,2.22,86,0.27,0.43,0.05,11,2.0,0.16,0.7,6948,1.625
11,A1,11,Gradsko 1 (avtopat) - Negotino 1 (avtopat),2013,15783,544,3.67,13.93,32.69,-1.81,154,120.0,27.14,4165,0.267,2.37,0.4,3.04,2.84,74,0.19,0.57,0.19,19,2.0,0.13,0.13,4816,0.0
