feature,importance_mean,importance_std,importance_mean_clipped,percentage
PGDS_2014,0.103,0.018,0.103,10.222
LIMIT,0.08,0.009,0.08,7.923
IRI,0.074,0.009,0.074,7.366
RDB_RUT ,0.061,0.005,0.061,6.074
Ave_Temp,0.055,0.006,0.055,5.409
S_NUMBER,0.047,0.01,0.047,4.653
Ave_Rain,0.046,0.004,0.046,4.531
Min_Temp,0.045,0.005,0.045,4.488
Max_Snow,0.045,0.004,0.045,4.459
Max_Temp,0.042,0.004,0.042,4.16
Аve_Height,0.04,0.003,0.04,4.012
RB,0.04,0.007,0.04,3.955
SSD V,0.037,0.004,0.037,3.673
Ave_Inc,0.034,0.005,0.034,3.329
KON.NAK.,0.031,0.003,0.031,3.053
Ave_Rad,0.03,0.004,0.03,2.956
SSD H,0.028,0.003,0.028,2.794
LENGTH SECTION,0.028,0.003,0.028,2.768
PCI,0.025,0.003,0.025,2.514
Kr.Kar.,0.022,0.002,0.022,2.215
K.Int. P.T,0.021,0.002,0.021,2.063
Lat_Force,0.018,0.002,0.018,1.791
K.Bridges,0.014,0.001,0.014,1.386
H sign,0.013,0.002,0.013,1.278
Datum,0.011,0.002,0.011,1.127
V sign,0.011,0.001,0.011,1.114
SKIDRES,0.007,0.001,0.007,0.686
