feature,importance_mean,importance_std,importance_mean_clipped,percentage
LENGTH SECTION,0.125,0.012,0.125,17.0
PCI,0.053,0.005,0.053,7.186
LIMIT,0.049,0.008,0.049,6.624
K.Int. P.T,0.046,0.005,0.046,6.189
K.Bridges,0.036,0.004,0.036,4.943
PGDS_AVG,0.036,0.007,0.036,4.911
Max_Snow,0.036,0.006,0.036,4.901
Аve_Height,0.033,0.007,0.033,4.54
Ave_Temp,0.032,0.006,0.032,4.334
Max_Temp,0.031,0.006,0.031,4.21
Ave_Inc,0.028,0.002,0.028,3.766
Ave_Rain,0.027,0.005,0.027,3.737
Min_Temp,0.025,0.005,0.025,3.426
IRI,0.024,0.002,0.024,3.228
SSD H,0.021,0.004,0.021,2.811
RB,0.02,0.006,0.02,2.699
S_NUMBER,0.019,0.005,0.019,2.613
RDB_RUT ,0.019,0.004,0.019,2.575
KON.NAK.,0.018,0.003,0.018,2.409
V sign,0.013,0.002,0.013,1.769
Kr.Kar.,0.012,0.002,0.012,1.639
Ave_Rad,0.009,0.001,0.009,1.184
SSD V,0.008,0.001,0.008,1.086
Lat_Force,0.007,0.001,0.007,0.888
H sign,0.004,0.001,0.004,0.551
Datum,0.003,0.0,0.003,0.393
SKIDRES,0.003,0.0,0.003,0.387
